file_name,Fr bound,Sample_size_1,Formula,Formula Size,Correct?,Total_Time_1,Solving Time,Timeout,,file_name,Fr bound,Sample_size_2,Formula,Formula Size,Correct?,Total_Time_2,Solving Time,Timeout,,file_name,Fr bound,Sample_size_3,Formula,Formula Size,Correct?,Total_Time_3,Solving Time,Timeout,,file_name,Fr bound,Sample_size_4,Formula,Formula Size,Correct?,Total_Time_4,Solving Time,Timeout,,file_name,Fr bound,Sample_size_5,Formula,Formula Size,Correct?,Total_Time_5,Solving Time,Timeout,,file_name,Fr bound,Sample_size_6,Formula,Formula Size,Correct?,Total_Time_6,Solving Time,Timeout,,file_name,Fr bound,Sample_size_7,Formula,Formula Size,Correct?,Total_Time_7,Solving Time,Timeout,,file_name,Fr bound,Sample_size_8,Formula,Formula Size,Correct?,Total_Time_8,Solving Time,Timeout,,file_name,Fr bound,Sample_size_9,Formula,Formula Size,Correct?,Total_Time_9,Solving Time,Timeout,,file_name,Fr bound,Sample_size_10,Formula,Formula Size,Correct?,Total_Time_10,Solving Time,Timeout
Second_benchmarks/signalsFiles/f:01-nw:005-ml:04-0.signal,1,40,Gp,1,TRUE,0.081321716308594,0.00104546546936,5400,,Second_benchmarks/signalsFiles/f:02-nw:005-ml:04-0.signal,1,40,"G(F[0.0,1.0]p)",2,TRUE,2.02873730659485,0.34323525428772,5400,,Second_benchmarks/signalsFiles/f:03-nw:005-ml:04-0.signal,1,40,"G((!p) | (F[0.0,1.0]q))",5,TRUE,297.260151386261,265.977981567383,5400,,Second_benchmarks/signalsFiles/f:04-nw:005-ml:04-0.signal,1,40,"G((G[0.9375,1.0]q) | (!p))",5,TRUE,303.908502578735,272.838577270508,5400,,Second_benchmarks/signalsFiles/f:05-nw:005-ml:04-0.signal,2,40,"G(F[0.0,2.0]p)",2,TRUE,2.12457418441772,0.532063722610474,5400,,Second_benchmarks/signalsFiles/f:06-nw:005-ml:04-0.signal,2,40,"G(p | (F[0.16666666666666666,2.0](!p)))",4,TRUE,61.5428566932678,46.1598608493805,5400,,Second_benchmarks/signalsFiles/f:07-nw:005-ml:04-0.signal,2,40,"G((!p) | (G[0.0625,0.9375]q))",5,TRUE,559.368011951447,529.651833057404,5400,,Second_benchmarks/signalsFiles/f:08-nw:005-ml:04-0.signal,3,40,"G(F[0.125,3.0]p)",2,TRUE,2.27777099609375,0.457945346832275,5400,,Second_benchmarks/signalsFiles/f:09-nw:005-ml:04-0.signal,3,40,"G((!p) | (F[0.0,1.0]q))",5,TRUE,613.236402988434,583.281449079514,5400,,Second_benchmarks/signalsFiles/f:10-nw:005-ml:04-0.signal,3,40,"G(G[2.125,2.125]q)",2,TRUE,2.0714967250824,0.504108428955078,5400
Second_benchmarks/signalsFiles/f:01-nw:005-ml:05-0.signal,1,50,Gp,1,TRUE,0.085053682327271,0.001393556594849,5400,,Second_benchmarks/signalsFiles/f:02-nw:005-ml:05-0.signal,1,50,"G(F[0.0,1.0]p)",2,TRUE,2.01321601867676,0.438446521759033,5400,,Second_benchmarks/signalsFiles/f:03-nw:005-ml:05-0.signal,1,50,"G((F[0.0,1.0]q) | (!p))",5,TRUE,256.921225786209,226.421374797821,5400,,Second_benchmarks/signalsFiles/f:04-nw:005-ml:05-0.signal,1,50,G((!p) | q),4,TRUE,34.8975715637207,18.9453613758087,5400,,Second_benchmarks/signalsFiles/f:05-nw:005-ml:05-0.signal,2,50,"G(F[0.0,2.0]p)",2,TRUE,3.23386907577515,0.823680400848389,5400,,Second_benchmarks/signalsFiles/f:06-nw:005-ml:05-0.signal,2,50,"G(p | (F[1.0,2.0]q))",4,TRUE,174.734616279602,153.022028446198,5400,,Second_benchmarks/signalsFiles/f:07-nw:005-ml:05-0.signal,2,50,"G((!p) | (G[0.9375,0.9375]q))",5,TRUE,333.513657569885,286.153152227402,5400,,Second_benchmarks/signalsFiles/f:08-nw:005-ml:05-0.signal,3,50,"G(F[0.0,3.0]p)",2,TRUE,2.04124569892883,0.464930057525635,5400,,Second_benchmarks/signalsFiles/f:09-nw:005-ml:05-0.signal,3,50,"G((!p) | (F[0.0,3.0]q))",5,TRUE,558.011887073517,524.718877792358,5400,,Second_benchmarks/signalsFiles/f:10-nw:005-ml:05-0.signal,3,50,"G(G[2.0,2.0]q)",2,TRUE,2.15389156341553,0.540424585342407,5400
Second_benchmarks/signalsFiles/f:01-nw:005-ml:06-0.signal,1,60,Gp,1,TRUE,0.113173246383667,0.001947641372681,5400,,Second_benchmarks/signalsFiles/f:02-nw:005-ml:06-0.signal,1,60,"G(F[0.0,1.0]p)",2,TRUE,2.93748307228088,0.674208641052246,5400,,Second_benchmarks/signalsFiles/f:03-nw:005-ml:06-0.signal,1,60,"G((G[1.0,1.0]q) | q)",3,TRUE,14.6754367351532,5.9389955997467,5400,,Second_benchmarks/signalsFiles/f:04-nw:005-ml:06-0.signal,1,60,G((!p) | q),4,TRUE,98.088508605957,75.3222591876984,5400,,Second_benchmarks/signalsFiles/f:05-nw:005-ml:06-0.signal,2,60,"G(F[0.0,2.0]p)",2,TRUE,3.48779892921448,1.09470057487488,5400,,Second_benchmarks/signalsFiles/f:06-nw:005-ml:06-0.signal,2,60,"G((!p) | (F[0.041666666666666664,1.0833333333333333]q))",5,TRUE,606.526501178742,561.685075998306,5400,,Second_benchmarks/signalsFiles/f:07-nw:005-ml:06-0.signal,2,60,G((!p) | q),4,TRUE,46.2628016471863,24.5870544910431,5400,,Second_benchmarks/signalsFiles/f:08-nw:005-ml:06-0.signal,3,60,"G(F[0.0,3.0]p)",2,TRUE,3.70754408836365,1.10630083084106,5400,,Second_benchmarks/signalsFiles/f:09-nw:005-ml:06-0.signal,3,60,"G(F[0.0,3.0]q)",2,TRUE,2.70431637763977,0.478505611419678,5400,,Second_benchmarks/signalsFiles/f:10-nw:005-ml:06-0.signal,3,60,"G((G[0.0625,0.0625]q) | (!p))",5,TRUE,673.624883651733,626.512776851654,5400
Second_benchmarks/signalsFiles/f:01-nw:010-ml:04-0.signal,1,80,Gp,1,TRUE,0.141520738601685,0.002262592315674,5400,,Second_benchmarks/signalsFiles/f:02-nw:010-ml:04-0.signal,1,80,"G(F[0.0,1.0]p)",2,TRUE,4.43563318252564,1.15220618247986,5400,,Second_benchmarks/signalsFiles/f:03-nw:010-ml:04-0.signal,1,80,"G((!p) | (F[0.0,1.0]q))",5,TRUE,824.68060874939,759.941878080368,5400,,Second_benchmarks/signalsFiles/f:04-nw:010-ml:04-0.signal,1,80,"G((!p) | (G[0.08333333333333333,0.16666666666666666]q))",5,TRUE,873.545913219452,810.94503903389,5400,,Second_benchmarks/signalsFiles/f:05-nw:010-ml:04-0.signal,2,80,"G(F[0.0,2.0]p)",2,TRUE,5.52688503265381,1.7193124294281,5400,,Second_benchmarks/signalsFiles/f:06-nw:010-ml:04-0.signal,2,80,"G((!p) | (F[0.0,2.0]q))",5,TRUE,655.233536958694,588.322204589844,5400,,Second_benchmarks/signalsFiles/f:07-nw:010-ml:04-0.signal,2,80,"G((G[0.0625,2.0]q) | (!p))",5,TRUE,1642.51422429085,1576.88251829147,5400,,Second_benchmarks/signalsFiles/f:08-nw:010-ml:04-0.signal,3,80,"G(F[0.0625,3.0]p)",2,TRUE,4.55595350265503,1.13181853294373,5400,,Second_benchmarks/signalsFiles/f:09-nw:010-ml:04-0.signal,3,80,"G(G[2.0625,3.0]((!p) | q))",5,TRUE,1755.12107491493,1689.78142237663,5400,,Second_benchmarks/signalsFiles/f:10-nw:010-ml:04-0.signal,3,80,G(q | (!p)),4,TRUE,75.2205514907837,40.2485728263855,5400
Second_benchmarks/signalsFiles/f:01-nw:010-ml:05-0.signal,1,100,Gp,1,TRUE,0.152602910995483,0.00175929069519,5400,,Second_benchmarks/signalsFiles/f:02-nw:010-ml:05-0.signal,1,100,"G(F[0.0,1.0]p)",2,TRUE,4.55468034744263,1.06801176071167,5400,,Second_benchmarks/signalsFiles/f:03-nw:010-ml:05-0.signal,1,100,"G((F[0.0,1.0]q) | (!p))",5,TRUE,2639.89387893677,2540.93717598915,5400,,Second_benchmarks/signalsFiles/f:04-nw:010-ml:05-0.signal,1,100,G((!p) | q),4,TRUE,253.065054416656,206.953914880753,5400,,Second_benchmarks/signalsFiles/f:05-nw:010-ml:05-0.signal,2,100,"G(F[0.0,2.0]p)",2,TRUE,8.30873537063599,2.80571150779724,5400,,Second_benchmarks/signalsFiles/f:06-nw:010-ml:05-0.signal,2,100,"G((!p) | (F[0.0,2.0]q))",5,TRUE,2751.94540643692,2657.5063624382,5400,,Second_benchmarks/signalsFiles/f:07-nw:010-ml:05-0.signal,2,100,"G((!p) | (G[0.9583333333333334,1.0416666666666667]q))",5,TRUE,828.056490182877,730.848756551743,5400,,Second_benchmarks/signalsFiles/f:08-nw:010-ml:05-0.signal,3,100,"G(F[0.0,3.0]p)",2,TRUE,7.45940113067627,2.61496138572693,5400,,Second_benchmarks/signalsFiles/f:09-nw:010-ml:05-0.signal,3,100,"G((!p) | (F[0.0,3.0]q))",5,TRUE,2158.50868487358,2058.43442082405,5400,,Second_benchmarks/signalsFiles/f:10-nw:010-ml:05-0.signal,3,100,"G((!p) | (G[0.08333333333333333,1.0416666666666667]q))",5,TRUE,711.227056980133,643.156293869019,5400
Second_benchmarks/signalsFiles/f:01-nw:010-ml:06-0.signal,1,120,Gp,1,TRUE,0.178808212280273,0.003193140029907,5400,,Second_benchmarks/signalsFiles/f:02-nw:010-ml:06-0.signal,1,120,"G(F[0.0,1.0]p)",2,TRUE,5.83198213577271,1.28611612319946,5400,,Second_benchmarks/signalsFiles/f:03-nw:010-ml:06-0.signal,1,120,"G((!p) | (F[0.0,1.0]q))",5,TRUE,2395.66409444809,2295.98616576195,5400,,Second_benchmarks/signalsFiles/f:04-nw:010-ml:06-0.signal,1,120,G(q | (!p)),4,TRUE,163.077882766724,116.735087633133,5400,,Second_benchmarks/signalsFiles/f:05-nw:010-ml:06-0.signal,2,120,"G(F[0.0,2.0]p)",2,TRUE,6.71400189399719,1.98953747749329,5400,,Second_benchmarks/signalsFiles/f:06-nw:010-ml:06-0.signal,2,120,"G((!p) | (F[0.0,2.0]q))",5,TRUE,5182.38429093361,5087.90719819069,5400,,Second_benchmarks/signalsFiles/f:07-nw:010-ml:06-0.signal,2,120,"G((!p) | (G[0.9583333333333334,1.0416666666666667]q))",5,TRUE,1980.4764919281,1884.92234873772,5400,,Second_benchmarks/signalsFiles/f:08-nw:010-ml:06-0.signal,3,120,"G(F[0.0,3.0]p)",2,TRUE,6.57800126075745,1.95511174201965,5400,,Second_benchmarks/signalsFiles/f:09-nw:015-ml:04-0.signal,3,120,"G((!p) | (F[0.0,1.9375]q))",5,TRUE,3648.19471478462,3550.69441080093,5400,,Second_benchmarks/signalsFiles/f:10-nw:010-ml:06-0.signal,3,120,"G((!p) | (G[0.9583333333333334,2.0416666666666665]q))",5,TRUE,2693.51700043678,2596.78093886375,5400
Second_benchmarks/signalsFiles/f:01-nw:015-ml:04-0.signal,1,120,Gp,1,TRUE,0.201797008514404,0.003786087036133,5400,,Second_benchmarks/signalsFiles/f:02-nw:015-ml:04-0.signal,1,120,"G(F[0.0,1.0]p)",2,TRUE,7.14182829856873,2.00071954727173,5400,,Second_benchmarks/signalsFiles/f:03-nw:015-ml:04-0.signal,1,120,"G((F[0.0,1.0]q) | (!p))",5,TRUE,938.112689971924,842.778868436813,5400,,Second_benchmarks/signalsFiles/f:04-nw:015-ml:04-0.signal,1,120,"G((!p) | (G[0.0625,0.0625]q))",5,TRUE,1440.69263720512,1343.89927601814,5400,,Second_benchmarks/signalsFiles/f:05-nw:015-ml:04-0.signal,2,120,"G(F[0.0,2.0]p)",2,TRUE,8.52816820144653,3.50222682952881,5400,,Second_benchmarks/signalsFiles/f:06-nw:015-ml:04-0.signal,2,120,"G((!p) | (F[0.0,2.0]q))",5,TRUE,2119.74752736092,2021.72891259193,5400,,Second_benchmarks/signalsFiles/f:07-nw:015-ml:04-0.signal,2,120,"G((!p) | (G[0.9791666666666666,1.0208333333333333]q))",5,TRUE,1498.66826057434,1402.32927846909,5400,,Second_benchmarks/signalsFiles/f:08-nw:015-ml:04-0.signal,3,120,"G(F[1.03125,3.0]p)",2,TRUE,8.95213317871094,4.03296399116516,5400,,Second_benchmarks/signalsFiles/f:09-nw:015-ml:05-0.signal,3,150,"G((!p) | (F[0.0,3.0]q))",5,TRUE,4582.28722000122,4438.59980869293,5400,,Second_benchmarks/signalsFiles/f:10-nw:015-ml:04-0.signal,3,120,"G((G[0.08333333333333333,2.0416666666666665]q) | (!p))",5,TRUE,1763.56513786316,1666.46594548225,5400
Second_benchmarks/signalsFiles/f:01-nw:015-ml:05-0.signal,1,150,Gp,1,TRUE,0.230881690979004,0.004650115966797,5400,,Second_benchmarks/signalsFiles/f:02-nw:015-ml:05-0.signal,1,150,"G(F[0.0,1.0]p)",2,TRUE,8.54220962524414,3.34129285812378,5400,,Second_benchmarks/signalsFiles/f:03-nw:015-ml:05-0.signal,1,150,"G((F[0.0,1.0]q) | (!p))",5,TRUE,5020.53922510147,4862.09345889092,5400,,Second_benchmarks/signalsFiles/f:04-nw:015-ml:06-0.signal,1,180,G(q | (!p)),4,TRUE,421.665914773941,348.648785829544,5400,,Second_benchmarks/signalsFiles/f:05-nw:015-ml:05-0.signal,2,150,"G(F[0.0,2.0]p)",2,TRUE,11.8878829479218,4.46636748313904,5400,,Second_benchmarks/signalsFiles/f:06-nw:020-ml:04-0.signal,2,160,"G((F[0.0,2.0]q) | (!p))",5,TRUE,4405.92363238335,4272.17429900169,5400,,Second_benchmarks/signalsFiles/f:07-nw:020-ml:04-0.signal,2,160,"G((G[0.9583333333333334,1.9166666666666667]q) | (!p))",5,TRUE,2582.88401222229,2440.82162094116,5400,,Second_benchmarks/signalsFiles/f:08-nw:015-ml:05-0.signal,3,150,"G(F[0.0,3.0]p)",2,TRUE,12.6089780330658,5.22403430938721,5400,,Second_benchmarks/signalsFiles/f:09-nw:020-ml:04-0.signal,3,160,"G((F[0.0,1.03125]q) | (!p))",5,TRUE,3569.68339061737,3430.60116124153,5400,,Second_benchmarks/signalsFiles/f:10-nw:020-ml:04-0.signal,3,160,"G((!p) | (G[0.03125,0.03125]q))",5,TRUE,4901.03748726845,4766.16213297844,5400
Second_benchmarks/signalsFiles/f:01-nw:015-ml:06-0.signal,1,180,Gp,1,TRUE,0.234104633331299,0.004838228225708,5400,,Second_benchmarks/signalsFiles/f:02-nw:015-ml:06-0.signal,1,180,"G(F[0.0,1.0]p)",2,TRUE,11.8060410022736,4.1391658782959,5400,,Second_benchmarks/signalsFiles/f:03-nw:020-ml:04-0.signal,1,160,"G((!p) | (F[0.0,1.0]q))",5,TRUE,3664.29229283333,3526.08992743492,5400,,Second_benchmarks/signalsFiles/f:04-nw:020-ml:04-0.signal,1,160,"G((!p) | (G[0.03125,0.03125]q))",5,TRUE,2858.85602378845,2724.2031981945,5400,,Second_benchmarks/signalsFiles/f:05-nw:015-ml:06-0.signal,2,180,"G(F[0.0,2.0]p)",2,TRUE,10.9545991420746,3.69439077377319,5400,,,,,,,,,,,,,,,,,,,,,,Second_benchmarks/signalsFiles/f:08-nw:015-ml:06-0.signal,3,180,"G(F[0.0,3.0]p)",2,TRUE,12.2200696468353,5.00823140144348,5400,,Second_benchmarks/signalsFiles/f:09-nw:020-ml:05-0.signal,3,200,"G((!p) | (F[0.0,3.0]q))",5,TRUE,5066.92321801186,4876.63124227524,5400,,,,,,,,,,
Second_benchmarks/signalsFiles/f:01-nw:020-ml:04-0.signal,1,144,Gp,1,TRUE,0.227431774139404,0.003185033798218,5400,,Second_benchmarks/signalsFiles/f:02-nw:020-ml:04-0.signal,1,160,"G(F[0.0,1.0]p)",2,TRUE,10.4772636890411,3.15712451934814,5400,,Second_benchmarks/signalsFiles/f:03-nw:020-ml:05-0.signal,1,200,"G((!p) | (F[0.0,1.0]q))",5,TRUE,3967.55679178238,3768.7093501091,5400,,,,,,,,,,,,Second_benchmarks/signalsFiles/f:05-nw:020-ml:04-0.signal,2,160,"G(F[0.0,2.0]p)",2,TRUE,10.9889359474182,3.4778208732605,5400,,,,,,,,,,,,,,,,,,,,,,Second_benchmarks/signalsFiles/f:08-nw:020-ml:04-0.signal,3,160,"G(F[3.0,3.0]p)",2,TRUE,10.9483270645142,4.03448176383972,5400,,,,,,,,,,,,,,,,,,,,
Second_benchmarks/signalsFiles/f:01-nw:020-ml:05-0.signal,1,200,Gp,1,TRUE,0.327408075332642,0.006861686706543,5400,,Second_benchmarks/signalsFiles/f:02-nw:020-ml:05-0.signal,1,200,"G(F[0.0,1.0]p)",2,TRUE,16.4206230640411,6.08255338668823,5400,,,,,,,,,,,,,,,,,,,,,,Second_benchmarks/signalsFiles/f:05-nw:020-ml:05-0.signal,2,200,"G(F[0.0,2.0]p)",2,TRUE,17.9693462848663,6.82210540771484,5400,,,,,,,,,,,,,,,,,,,,,,Second_benchmarks/signalsFiles/f:08-nw:020-ml:05-0.signal,3,200,"G(F[0.0,3.0]p)",2,TRUE,18.2629334926605,7.5908088684082,5400,,,,,,,,,,,,,,,,,,,,
Second_benchmarks/signalsFiles/f:01-nw:020-ml:06-0.signal,1,240,Gp,1,TRUE,0.33184289932251,0.007306814193726,5400,,Second_benchmarks/signalsFiles/f:02-nw:020-ml:06-0.signal,1,240,"G(F[0.0,1.0]p)",2,TRUE,15.8178036212921,5.53528547286987,5400,,,,,,,,,,,,,,,,,,,,,,Second_benchmarks/signalsFiles/f:05-nw:020-ml:06-0.signal,2,240,"G(F[0.0,2.0]p)",2,TRUE,15.4665503501892,5.74153852462769,5400,,,,,,,,,,,,,,,,,,,,,,Second_benchmarks/signalsFiles/f:08-nw:020-ml:06-0.signal,3,240,"G(F[0.0,3.0]p)",2,TRUE,17.4834642410278,7.17507791519165,5400,,,,,,,,,,,,,,,,,,,,
