file_name,Fr bound,Number of examples,Example length,Formula,Formula Size,Correct?,Total Time,Solving Time,Timeout
first-run/signalsFiles/f:01-nw:004-ml:04-0.signal,2,8,4,"G(F[0.70625,1.5]p)",2,TRUE,5.02,0.72,7200
first-run/signalsFiles/f:01-nw:004-ml:06-0.signal,2,8,6,"G(F[0.00625,2.0]p)",2,TRUE,4.78,0.66,7200
first-run/signalsFiles/f:01-nw:004-ml:08-0.signal,2,8,8,"G(F[0.0,2.0]p)",2,TRUE,5.81,1.46,7200
first-run/signalsFiles/f:01-nw:004-ml:10-0.signal,2,8,10,"G(F[0.0,2.0]p)",2,TRUE,5.42,1.07,7200
first-run/signalsFiles/f:01-nw:004-ml:12-0.signal,2,8,12,"G(F[0.51875,1.80625]p)",2,TRUE,6.81,2.25,7200
first-run/signalsFiles/f:01-nw:004-ml:14-0.signal,2,8,14,"G(F[0.00625,2.0]p)",2,TRUE,5.27,0.92,7200
first-run/signalsFiles/f:01-nw:004-ml:16-0.signal,2,8,16,"G(F[0.0,2.0]p)",2,TRUE,5.86,1.51,7200
first-run/signalsFiles/f:01-nw:008-ml:04-0.signal,2,16,4,"G(F[0.096875,1.996875]p)",2,TRUE,14.15,3.89,7200
first-run/signalsFiles/f:01-nw:008-ml:06-0.signal,2,16,6,"G(F[0.3,2.0]p)",2,TRUE,11.33,2.83,7200
first-run/signalsFiles/f:01-nw:008-ml:08-0.signal,2,16,8,"G(F[0.003125,1.996875]p)",2,TRUE,16.73,7.65,7200
first-run/signalsFiles/f:01-nw:008-ml:10-0.signal,2,16,10,"G(F[0.0,2.0]p)",2,TRUE,12.81,3.92,7200
first-run/signalsFiles/f:01-nw:008-ml:12-0.signal,2,16,12,"G(F[0.0,2.0]p)",2,TRUE,15.85,6.35,7200
first-run/signalsFiles/f:01-nw:008-ml:14-0.signal,2,16,14,,,,,,7200
first-run/signalsFiles/f:01-nw:012-ml:04-0.signal,2,24,4,,,,,,7200
first-run/signalsFiles/f:01-nw:012-ml:06-0.signal,2,24,6,"G(F[0.003125,1.996875]p)",2,TRUE,23.16,6.62,7200
first-run/signalsFiles/f:01-nw:012-ml:08-0.signal,2,24,8,,,,,,7200
first-run/signalsFiles/f:01-nw:012-ml:12-0.signal,2,24,12,"G(F[0.0,2.0]p)",2,TRUE,25.47,12.18,7200
first-run/signalsFiles/f:01-nw:012-ml:14-0.signal,2,24,14,,,,,,7200
first-run/signalsFiles/f:01-nw:016-ml:04-0.signal,2,32,4,,,,,,7200
first-run/signalsFiles/f:01-nw:016-ml:06-0.signal,2,32,6,"G(F[0.003125,1.903125]p)",2,TRUE,33.83,14.34,7200
first-run/signalsFiles/f:01-nw:016-ml:08-0.signal,2,32,8,,,,,,7200
first-run/signalsFiles/f:01-nw:016-ml:12-0.signal,2,32,12,"G(F[0.0,2.0]p)",2,TRUE,31.62,11.49,7200
first-run/signalsFiles/f:01-nw:016-ml:14-0.signal,2,32,14,,,,,,7200
first-run/signalsFiles/f:01-nw:032-ml:04-0.signal,2,64,4,,,,,,7200
first-run/signalsFiles/f:01-nw:032-ml:06-0.signal,2,64,6,,,,,,7200
first-run/signalsFiles/f:01-nw:032-ml:08-0.signal,2,64,8,,,,,,7200
first-run/signalsFiles/f:01-nw:032-ml:10-0.signal,2,64,10,,,,,,7200
first-run/signalsFiles/f:01-nw:032-ml:12-0.signal,2,64,12,,,,,,7200
first-run/signalsFiles/f:01-nw:032-ml:14-0.signal,2,64,14,,,,,,7200
first-run/signalsFiles/f:02-nw:004-ml:04-0.signal,2,8,4,"G((F[0.0,1.70625]q) | p)",4,TRUE,234.00,182.89,7200
first-run/signalsFiles/f:02-nw:004-ml:06-0.signal,2,8,6,"G(F[0.00625,2.0]q)",2,TRUE,5.95,1.46,7200
first-run/signalsFiles/f:02-nw:004-ml:08-0.signal,2,8,8,"G(F[0.003125,1.196875](q | p))",4,TRUE,411.06,360.88,7200
first-run/signalsFiles/f:02-nw:004-ml:12-0.signal,2,8,12,,,,,,7200
first-run/signalsFiles/f:02-nw:004-ml:14-0.signal,2,8,14,"G((F[0.0,2.0]q) | p)",4,TRUE,"3,589.40","3,541.05",7200
first-run/signalsFiles/f:02-nw:008-ml:06-0.signal,2,16,6,"G(p | (F[0.0,1.996875]q))",4,TRUE,"1,065.18",956.95,7200
first-run/signalsFiles/f:02-nw:008-ml:10-0.signal,2,16,10,,,,,,7200
first-run/signalsFiles/f:02-nw:008-ml:12-0.signal,2,16,12,,,,,,7200
first-run/signalsFiles/f:02-nw:008-ml:14-0.signal,2,16,14,,,,,,7200
first-run/signalsFiles/f:02-nw:012-ml:06-0.signal,2,24,6,"G((F[0.0,1.703125]q) | p)",4,TRUE,"4,112.26","3,938.51",7200
first-run/signalsFiles/f:02-nw:012-ml:08-0.signal,2,24,8,,,,,,7200
first-run/signalsFiles/f:02-nw:012-ml:10-0.signal,2,24,10,,,,,,7200
first-run/signalsFiles/f:02-nw:012-ml:12-0.signal,2,24,12,,,,,,7200
first-run/signalsFiles/f:02-nw:012-ml:14-0.signal,2,24,14,,,,,,7200
first-run/signalsFiles/f:02-nw:012-ml:16-0.signal,2,24,16,,,,,,7200
first-run/signalsFiles/f:02-nw:016-ml:06-0.signal,2,32,6,"G(p | (F[0.0,2.0]q))",4,TRUE,"6,693.59","6,463.90",7200
first-run/signalsFiles/f:02-nw:016-ml:08-0.signal,2,32,8,,,,,,7200
first-run/signalsFiles/f:02-nw:016-ml:10-0.signal,2,32,10,,,,,,7200
first-run/signalsFiles/f:02-nw:016-ml:12-0.signal,2,32,12,,,,,,7200
first-run/signalsFiles/f:02-nw:016-ml:14-0.signal,2,32,14,,,,,,7200
first-run/signalsFiles/f:02-nw:016-ml:16-0.signal,2,32,16,,,,,,7200
first-run/signalsFiles/f:02-nw:032-ml:06-0.signal,2,64,6,,,,,,7200
first-run/signalsFiles/f:02-nw:032-ml:08-0.signal,2,64,8,,,,,,7200
first-run/signalsFiles/f:02-nw:032-ml:10-0.signal,2,64,10,,,,,,7200
first-run/signalsFiles/f:02-nw:032-ml:12-0.signal,2,64,12,,,,,,7200
first-run/signalsFiles/f:02-nw:032-ml:14-0.signal,2,64,14,,,,,,7200
first-run/signalsFiles/f:02-nw:032-ml:16-0.signal,2,64,16,,,,,,7200
first-run/signalsFiles/f:03-nw:004-ml:04-0.signal,2,8,4,"G(p | (F[1.10625,1.10625]q))",4,TRUE,332.72,276.32,7200
first-run/signalsFiles/f:03-nw:004-ml:06-0.signal,2,8,6,"G(p | (G[0.0015625,0.0015625]q))",4,TRUE,262.03,213.12,7200
first-run/signalsFiles/f:03-nw:004-ml:08-0.signal,2,8,8,"G(p | (G[2.0,2.0]p))",3,TRUE,80.14,58.94,7200
first-run/signalsFiles/f:03-nw:004-ml:14-0.signal,2,8,14,"G(F[1.09375,2.0]p)",2,TRUE,5.83,1.70,7200
first-run/signalsFiles/f:03-nw:004-ml:16-0.signal,2,8,16,,,,,,7200
first-run/signalsFiles/f:03-nw:008-ml:06-0.signal,2,16,6,"G(p | (F[0.10208333333333333,0.6041666666666666]q))",4,TRUE,942.40,831.30,7200
first-run/signalsFiles/f:03-nw:008-ml:14-0.signal,2,16,14,,,,,,7200
first-run/signalsFiles/f:03-nw:008-ml:16-0.signal,2,16,16,,,,,,7200
first-run/signalsFiles/f:03-nw:012-ml:06-0.signal,2,24,6,"G(p | (G[0.0020833333333333333,0.004166666666666667]q))",4,FALSE,"2,294.96","2,116.48",7200
first-run/signalsFiles/f:03-nw:012-ml:14-0.signal,2,24,14,,,,,,7200
first-run/signalsFiles/f:03-nw:012-ml:16-0.signal,2,24,16,,,,,,7200
first-run/signalsFiles/f:03-nw:016-ml:08-0.signal,2,32,8,,,,,,7200
first-run/signalsFiles/f:03-nw:016-ml:10-0.signal,2,32,10,,,,,,7200
first-run/signalsFiles/f:03-nw:016-ml:14-0.signal,2,32,14,,,,,,7200
first-run/signalsFiles/f:03-nw:016-ml:16-0.signal,2,32,16,,,,,,7200
first-run/signalsFiles/f:03-nw:032-ml:04-0.signal,2,64,4,,,,,,7200
first-run/signalsFiles/f:03-nw:032-ml:08-0.signal,2,64,8,,,,,,7200
first-run/signalsFiles/f:03-nw:032-ml:10-0.signal,2,64,10,,,,,,7200
first-run/signalsFiles/f:03-nw:032-ml:12-0.signal,2,64,12,,,,,,7200
first-run/signalsFiles/f:03-nw:032-ml:14-0.signal,2,64,14,,,,,,7200
first-run/signalsFiles/f:03-nw:032-ml:16-0.signal,2,64,16,,,,,,7200
